Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Exercise machine features (product.metafields.shopify.exercise-machine-features),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
yesoul-t1m-plus-treadmill-copy,YESOUL Treadmill T3 Plus,"<p>The YESOUL Treadmill T3 Plus features a 21.5-inch display, 1-14 km/h speed range, 10% incline electric adjustment, and a 136 kg max weight capacity. With a brushless 1.0HP motor, it offers a smooth and versatile workout experience. Ideal for fitness enthusiasts seeking performance and convenience.</p>
<p>PRODUCT NAME: YESOUL TREADMILL T3 PLUS (21.5-inch display)<br>RUNNING AREA: 450*1150mm<br>SPEED RANGE: 1-14km/h (Brushless machine 1.0HP)<br>SUPPORT: Yesoul Fitness &amp; Screen projection<br>FEATURE: 10% incline electric adjustment, central control button (speed<br>+/- adjustment, slope +/- adjustment, start/stop button)<br>GW: 38 KG<br>MAX WEIGHT CAPACITY: 300LBS≈136KG<br>CARTON DIMENTION: 1440*675*220mm</p>",PicksmartStores,Sporting Goods > Fitness & General Exercise Equipment > Cardio > Cardio Machines > Treadmills,"","",true,Title,Default Title,,,,,,,,T3 plus,38000.0,shopify,0,continue,manual,4999.00,6299.00,true,true,,https://cdn.shopify.com/s/files/1/0623/2742/3043/files/YESOULTREADMILLT3PLUS_21.5-inchdisplay_1.png?v=1742541828,1,"",false,,,994,,,,,,,,,,,,black,foldable,,,,,,kg,,2699.00,active
yesoul-t1m-plus-treadmill-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/2742/3043/files/Screenshot2025-03-11101536.jpg?v=1742541828,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,
yesoul-t3-treadmill-copy-copy,Yesoul T1M Plus Treadmill,"<p>The Yesoul T1M Plus Treadmill features a 21.5"" display, Bluetooth speakers, and speeds ranging from 1-16 km/h. It supports Yesoul Fitness, Zwift, and Kinomap apps, with a manual incline adjustment. Ideal for users up to 100kg, this foldable treadmill offers a compact design and powerful 1.0HP motor.<br><br>PRODUCT NAME: YESOUL TREADMILL T1M PLUS(Foldable)<br>STRUCTURE : 21.5 inches display(Screen projection)<br>and a speaker(AUX &amp; bluetooth)<br>SPEED RANGE: 1-16km/h(Brush machine 1.0HP)<br>APP SUPPORT: Yesoul fitness、Zwift &amp; Kinomap<br>FEATURE: Manually adjust the treadmill slope<br>POWER SUPPLY: adapter 24V/6A<br>NW/GW: 45KG/50KG<br>MAX WEIGHT CAPACITY: 100KG<br>CARTON DIMENTION: 1460*675*235mm<br></p>",PicksmartStores,Sporting Goods > Fitness & General Exercise Equipment > Cardio > Cardio Machines > Treadmills,"","",true,Title,Default Title,,,,,,,,T1m plus,50000.0,shopify,0,continue,manual,5499.00,6399.00,true,true,,https://cdn.shopify.com/s/files/1/0623/2742/3043/files/66c4098383942.png?v=1742030296,1,"",false,,,994,,,,,,,,,,,,black,foldable,,,,,,kg,,2699.00,active
yesoul-t3-treadmill-copy-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/2742/3043/files/66debae2e310d.jpg?v=1742030295,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,
yesoul-t3-treadmill-copy-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/2742/3043/files/66debae4a5d57.jpg?v=1742030295,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,
yesoul-t3-treadmill-copy-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/2742/3043/files/66debae625b21.jpg?v=1742067261,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,
yesoul-t3-treadmill-copy-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/2742/3043/files/66debae4a9a1d.jpg?v=1742067261,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,
yesoul-t3-treadmill-copy-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/2742/3043/files/66debae67125a.jpg?v=1742067261,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,
yesoul-t3-treadmill-copy-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/2742/3043/files/66debae4c6908.jpg?v=1742067261,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,
yesoul-t3-treadmill-copy-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/2742/3043/files/66debae6a7f6a.jpg?v=1742030296,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,
